author,date,text,rating,source
Евгения Кохтанова,2025-06-09,"Мы юридическое лицо, работаем с ППР уже много лет, начали сначала только по топливу, потом постепенно добавили другие функции: мониторинг штрафов, парковки, мойка, продлеваем полисы ОСАГО, все очень удобно, работаешь по многим направлениям с одной организацией и счет один. Особенно хочу отметить оперативность с которой решаются вопросы. Спасибо за плодотворное сотрудничество, продолжаем работать дальше!",5,2gis
Алексей Шубин,2025-06-07,"Спасибо Вам, реально облегчели работу с автопарком и учет по топливу легко везти и немаловажный аспект цены на топливо стали дешевле👍",5,2gis
Ирина Ковалёва,2025-06-06,"Приятно сотрудничать , все вопросы решают быстро, документы вовремя. Работаем вместе уже пол года , используем карты и транспондер . Устраивает все!",5,2gis
Слава Загуменнов,2025-06-06,"Много лет работаю, сервисов все больше, страховка лизинг итд. Рекомендую знакомым. Удобное приложение в телефоне. Как и со сотрудникам так и мне как директору.",5,2gis
Ксения Валавина,2025-06-03,"Всегда очень внимательные сотрудники, стараются помочь.",5,2gis
Владимир Гейдт,2025-05-31,"Все нравится, поддержа хорошая",5,2gis
Тимур Бикмурзин,2025-05-15,"Не рекомендую, могут сказать, что не дозвонились и по этой причине не привезти колёса, а в твоей детализации нет входящих, но на склад предлагают ехать тебе.",1,2gis
Александр Федяев,2025-01-31,"Ужасно агресивные способы, постоянные звонки с предложением каких-то услуг",1,2gis
Альбина Ахмерова,2025-01-28,"Работали с ППР не один год, но очень сильно были разочарованы в обслуживании персоналом колл центра и курирующего менеджера. Совсем не клиентоориентированная организация. Каждый сотрудник обещает разобраться в возникшей ситуации, но результата ноль. Постоянные звонки и общение к положительным результатам на привело. Уже пару лет работаем с другими операторами. Проще договориться с искусственным интеллектом, чем с сотрудниками ППР.",1,2gis
Татьяна Новикова,2024-12-24,"Добрый день!
По совету знакомых, обратились в ППР по вопросу приобретения топливных карт на предприятие.
По факту обращения мне был выделен персональный менеджер, очень компетентный и внимательный сотрудник - Екатерина Андрейченко.
Мне всё рассказали, всё объяснили и помогли решить возникшие вопросы.
Очень хорошо, когда в компании есть такие специалисты, с которыми очень комфортно работать!
В настоящее время к работе компании нареканий нет, а Екатерине огромное спасибо лично!",5,2gis
Tatyana Benko,2024-11-07,"Очень неповоротливая компания. Если у вас какая то возникла проблема, то недозвониться, недописаться туда НЕВОЗМОЖНО. БЕЗОБРАЗНОЕ отношение к клиентам. А цены в процессе работы НЕ СООТВЕТСТВУЮТ тем что были заявлены на стадии заелючения договора. Наша компания меняла эцп на фирме и оплатила с другой компании на карты. Так нас просто продинамили ДВА дня в обработке платежа. У нас дикие простои спецтехники и убытки. Но ЭТО КОМПАНИИ ВСЕ РАВНО ЧТО у вас проблемы. Нам просто робот отвечает и робот отписывпнт что их ВЕЛИЧЕСТВО ОПЕРПТОРЫ ЗАНЯТЫ и ждите своей очереди. БУДЕМ ТОЖЕ УХОДИТЬ ОТ НИХ",1,2gis
Andrey Bykov,2024-10-17,"Обходите эту компанию стороной, внимательно читайте условия договора и смотрите на цены за топливо за которое Вы платите, Вас завлекаются скидками на топливо (от рубля от столба), по факту вы за топливо будете переплачивать 2-3 рубля, либо платить процент от заправки в виде обслуживания. Работали 5 лет, но оказывается последние полгода нам по тихой сменили условия. Отказались от обслуживания и перешли работать по картам напрямую с производителями и оператором, что заправлЯет через приложение Заправки.",1,2gis
Алексей Науменко,2024-02-15,"ППР - компания которая на протяжении продолжительного времени не перестает удивлять своим профессионализмом ответственностью и оперативностью сотрудников, и главное - большим объёмом сервисных возможностей, что в корне отличает её от других. Каждый запрос решался быстро и качественно, а результат порой превосходит все ожидания. А большое разнообразие дополнительных сервисов экономит время и деньги. Эта компания стала для меня надежным партнером.",5,2gis
Иван Иванов,2024-02-13,"Работаем с компанией уже 3 года. В сотрудничестве все устраивает, широкая сеть заправок, всегда есть альтернатива АЗС. Пользуемся мобильным приложение, водители довольны, можно заправляться без карты. Пользуемся мойками тоже большая сеть, подключили услугу штрафы ( поступают все штрафы и есть возможности оплаты через ППР) Рекомендую 100 процентов.",5,2gis
Anastasiya S,2024-02-13,"С ППР работаем не один год, все устраивает. Сотрудники быстро реагируют, если возникают какие-то вопросы. Начали использовать мониторинг штрафов прямо в личном кабинете - отличный сервис! Спасибо нашему менеджеру Ольге за помощь в настройках.",5,2gis
Александр Савченко,2024-01-17,Прежде чем заключать договор подумайте!!!! это касается тех кто работает с НДС. проблемы с Документами начнутся целую неделю жду пока исправят УПД это просто ужас работать не хотят.,1,2gis
Яков Синицин,2022-08-04,"нужно расторгнуть договор с данной организацией, перед отправкой заявки на расторжении мне сообщили , что срок расторжения договора 1 рабочий день, заявка направлена 28.07.2022 в 08:36,  а на сегодня  04.09.2022 сообщают, что  соглашение о расторжении будет подготовлено и направлено 14.09.2022 , если кто-то то планирует принимать решение о работе данной организации рекомендую прочитать  их порядок расторжения договора и возврата предоплаты.",1,2gis
olgasergeevnanikolaeva,2021-12-11,"Пользуемся картами недавно, второй месяц сотрудничаем. В целом мы очень довольны. Ранее работали с другой компанией, в сравнении, качество обслуживания в ППР значительно лучше - личный кабинет и мобильное приложение максимально удобны, платежи поступают в течение часа, на наши вопросы реагируют быстро.
Столкнулись с тем, что на АСЗ с нашей карты списали лишние литры, мы обратились к нашему персональному менеджеру и уже на следующий день нам вернули наши деньги обратно. Это восторг!",5,2gis
Компания «Луч»,2021-12-10,"Отличная компания и отличный сервис! Из плюсов - платежи поступают быстро, Личный кабинет удобен для руководителя, а Мобильное приложение для водителей. Всегда видят остаток лимита на своей карте и доступные заправки по маршруту. Ещё один плюс - отсрочка бесплатная. Из минусов для нас - наличие сервисного сбора, но всё-таки за сервис нужно платить, поэтому принимаем это адекватно. Особенная благодарность за работу нашему менеджеру Олесе Третьяковой. С уважением, компания «Луч»",5,2gis
istokbeslan,2021-12-09,"Самая надежная компания. Мы в восторге. Отлаженная работа, все очень четко. Принимают на всех заправках по всей стране. Перешли с другой компании примерно полгода назад. Одно удовольствие. Огромное спасибо руководителю этой организации за такую слаженность и атмосферу. Отдельное спасибо Акуловой Светлане, нашему менеджеру, очень внимательному и замечательному.

С уважением,
Инга - помощник руководителя АО ""ИСТОК"", г. Беслан, Северная Осетия-Алания Республика.",5,2gis
