author,date,text,rating,source
Светлана,12 мая,"Сотрудничаем с ООО «ППР» не так давно. Хотелось бы отметить большой спектр услуг, предоставляемых компанией, заправка топливом на всех АЗС. Удобный, многофункциональный и доступный личный кабинет, что очень важно для работы транспортной компании, отслеживания баланса, до предоставления отчетности! Компетентные грамотные сотрудники, готовые помочь решить любой вопрос. Отдельное СПАСИБО хотим выразить нашему менеджеру Киселевой Татьяне Викторовне, всегда на связи, вежлива, решает быстро все возникающие вопросы! Компанию ООО «ППР» рекомендуем!",5,yandex
Светлана,11 июня,"Отличная компания, наша организация занимается строительством в регионе, очень удобно заправляться работникам в разных местах, много заправок. Очень удобно работать с функционалом личного кабинета, удобная своевременная система уведомлений. У ППР много направлений сотрудничества. Через них страховались очень оперативно. Сотрудники все профессионально грамотные, быстро выходят на связь, решают любые вопросы. Рекомендую к сотрудничеству. Компании ППР дальнейшего развития и роста.",5,yandex
Tatiyna K.,12 декабря 2024,"Сотрудничаем с ООО ППР уже второй год. Хотелось бы отметить больщой спектр услуг, предоставляемых компанией. Удобный, многофункциональный и доступный личный кабинет. Есть возможность пользоваться очень удобной услугой - овердрафт. И конечно же отдельное спасибо нашему менеджеру - Якушевой Юлии! Всегда на связи, вежлива, решает быстро все вопросы! 👍",5,yandex
Юлия Логинова,13 февраля 2024,"Отличная компания с удобным сервисом, множеством услуг и отчетностью, все просто, доступно, наглядно🔥🔥🔥Очень компетентные , знающие свое дело работники, которые всегда готовы помочь, объяснить, предложить комфортные условия сотрудничества.Отдельно хочу отметить и поблагодарить🤗🤗🤗 менеджера Савичеву Наталью, с которой как общение так и помощь в отдельных вопросах приносит много позитива , все вопросы решаются незамедлительно, профессионально,на связи даже в выходные и праздничные дни, что в наше время большая редкость.Работаем больше года и ни дня не пожалели!!!!!! Процветания вашей компании!!!!!!! Спасибо что вы есть!!!!!",5,yandex
Юрий Костюк,15 ноября 2024,"Скажу так, работаю с данной компанией больше 3-х лет, показали себя как надежный, уверенный, стабильный партнер. Большой спектр услуг представляют, тут тебе топливо на всех АЗС, больше не мониторим штрафы , ввел данные и уверен что там все вовремя оплатилось и все хорошо, парковка, мойка , список там не заканчивается , все под рукой, нужна страховка - пожалуста, одним словом очань удобно и легко работать когда есть такой партнер!
Отдельное СПАСИБО хочу выразить нашему менеджеру Фатеевой Елене Николаевне, спасибо Вам за вашу работу и быстрое решение всех возникающих вопросах! 
Компанию «ППР» рекомендуем!",5,yandex
Тим Тим,5 марта,"Если желаете головной боли , вам сюда. Тарифы непонятные ,практически на каждой заправке свой тариф, + обязательно с вас будут списывать за разные услуги, и конечно обязательно каждый месяц вам будут менять тариф на более дорогой. Когда вы начнете ругаться вам скажут что появился супер тариф ,и конечно же это не на долго,они изменят его через неделю, две три и вы опять будете ругаться) держитесь подальше",1,yandex
Борис Федоров,15 ноября 2024,"Работая в транспортной сфере, приходится постоянно обслуживаться и заправляться. Уже который год сотрудничаем с компанией ППР, хотя в начале пробовали и с другими компаними также, но остановились на ппр и не пожалели. Удобный личный кабинет и приложение, все понятно и просто. Есть возможность пользоваться овердрафтом. Сервис ппр включает не только обслуживание на азс, но и мойки, шиномонтаж и прочее. Горячая линия всегда доступна для помощи и консультации, а закрепленные менеджеры помогают и выручают в трудную минуту. В общем все на высшем уровне и менять не на кого не будем. Сотрудникам большое спасибо за их работу, отдельно хочу выразить благодарность нашему менеджеру Елене. Борис (ООО Специнжзащита)",5,yandex
Дмитрий С.,7 мая,"Где хоть одно предупреждение о блокировке карт???? Автоматически блокируются, но при этом автоматически не разблокируются???? Деньги поступили на счёт 2 дня назад, оформляете заявку на разблокировку после устного обращения, 21 век…. Блокируете нулевой счёт, что бы что??? Чтобы ни кто не мог воспользоваться нулем???
Я звонил в поддержку 5.05.2025 по поводу работы сервиса и ни кто не сообщил мне то, что карты заблокированы, те я об этом узнаю только при попытке заправиться приехав на заправку с пустым баком 👍",1,yandex
Любовь Чулкова,15 января,"Берут ежемесячную плату за подписку в сумме 2400, не предоставляя не скидок на топливо (оплата 100%) не на мойки, так же оплачивали все сами. По сути плата за перевод денег с одного счета на другой, у нас за такие услуги и с большим обьемом платежок банк берет гораздо меньше. В других топливных никаких дополнительных плат нет. Перед тем как заключить договор подумайте дважды",1,yandex
А,6 июня,С ООО ППР сотрудничаем почти год. В основном это заправки бензином в Центральном федеральном округе. Все устраивает. Накладок не было. Личный кабинет достаточно информативный и удобный. Рекомендуем. ООО Технологии сервиса.,5,yandex
Роман Комаров,26 ноября 2024,"ППР это симбиоз хорошего приложения и отвратного отношения к клиенту... Тебя заманят скидками на топливо, но потом потихоньку из скидок сделают НАЦЕНКИ ... Причём так умело это делают, в чеках с азс у вас цены со стеллы, а списания С НАЦЕНКАМИ(((. Каждый раз нужно звонить (а дозвониться это прослушивание музыки по 20 минут минимум) , говорить, что договор будет расторгаться, тогда возможно вам сделают опять НА ВРЕМЯ скидку, ну как сделают, в данный момент как раз ожидаем с бухгалтером уже 2 недели допника в сбисе на скидку, но ОН НИКАК НЕ ПРИХОДИТ.... Менеджер вообще никак не заинтересован в вас как в клиенте, он то в отпуске, то обещает всё выяснить и пропадает (тут Юле привет). Вероятнее всего просто наобещали, а потом ""технические проблемы"". Такое отношение к клиенту с оборотом под млн руб в месяц.... Не советую.... Не наладится если, уйду в бывшую торливную, без скидок, но и без намахалова. *инн 3665809573",2,yandex
александр д.,15 марта 2024,"Хочу отметить с благодарностью работу сотрудников этой компании, которые с радостью помогающих по любому обращению нас как клиента. Также хочется отметить большое количество полезных и нужных продуктов и сервисов в системе ППР. 
Также хотелось бы отметить в качестве совета для компании, проводить платежи клиентов более оперативно, зачислять деньги на счёт клиента. Есть некоторые замечания по работе личного кабинета, который периодически «виснет» и информация в нём может быть неактуальной, это касается баланса и транзакций. Неудобный интерфейс выбора периода транзакций, полсе нажатия на дату начала происходит изменение суммы транзакций, а только после выбора окончания периода вы сможете увидеть то, что хотели. Иногда это раздражает. Но в общем хочу отметить, что кабинет ППР лучше аналогичных разработок других топливных компаний. На последнее место из которых можно поставить систему Ликард Лукойла.",4,yandex
Сергей Н.,14 февраля,"Случайно заметил расхождение на 10% не в мою пользу (заправляемся на 700т/мес), менеджер говорит что изначальные условия (1,5% комиссия от оборота) дается только на 3 мес. далее они могут регулировать сами и уведомлять путем mail рассылки. Очень не доволен данной компанией. Будьте аккуратней, сравнивайте чек и сколько списали с счета.",1,yandex
Лидия Петренко,12 декабря 2024,"С компанией работаем давно. Отличный коллектив. Хороший овердрайф. Компанией довольны. Заправки по всей России. На вопросы ответы реактивно прибывают. Личный кабинет работает отлично. Всё устраевает, менять не собираемся. Спасибо организованности.",5,yandex
